new.Symbol,new.EGID,new.Uniprot
AAK1,22848,Q2M2I8
AATK,9625,Q6ZMQ8
ABL1,25,P00519
ABL2,27,P42684
ACVR1,90,Q04771
ACVR1B,91,P36896
ACVR1C,130399,Q8NER5
ACVR2A,92,P27037
ACVR2B,93,Q13705
ACVRL1,94,P37023
ADCK1,57143,Q86TW2
ADCK2,90956,Q7Z695
ADCK3,56997,Q8NI60
ADCK4,79934,Q96D53
ADCK5,203054,Q3MIX3
ADK,132,P55263
ADPGK,83440,Q9BRR6
ADRBK1,156,P25098
ADRBK2,157,P35626
AGK,55750,Q53H12
AK1,203,P00568
AK2,204,P54819
AK3,50808,Q9UIJ7
AK4,205,P27144
AK5,26289,Q9Y6K8
AK7,122481,Q96M32
AK8,158067,Q96MA6
AK9,221264,Q5TCS8
AKAP13,11214,Q12802
AKT1,207,P31749
AKT2,208,P31751
AKT3,10000,Q9Y243
ALDH18A1,5832,P54886
ALK,238,Q9UM73
ALPK1,80216,Q96QP1
ALPK2,115701,Q86TB3
ALPK3,57538,Q96L96
AMHR2,269,Q16671
ANKK1,255239,Q8NFD2
ARAF,369,P10398
ATM,472,Q13315
ATR,545,Q13535
AURKA,6790,O14965
AURKB,9212,Q96GD4
AURKC,6795,Q9UQB9
AVP,551,P01185
AXL,558,P30530
BAZ1B,9031,Q9UIG0
BCKDK,10295,O14874
BCR,613,P11274
BLK,640,P51451
BMP2K,55589,Q9NSY1
BMPR1A,657,P36894
BMPR1B,658,O00238
BMPR2,659,Q13873
BMX,660,P51813
BRAF,673,P15056
BRD4,23476,O60885
BRSK1,84446,Q8TDC3
BRSK2,9024,Q8IWQ3
BTK,695,Q06187
BUB1,699,O43683
BUB1B,701,O60566
C8orf44-SGK3,100533105,
CAB39,51719,Q9Y376
CAD,790,P27708
CAMK1,8536,Q14012
CAMK1D,57118,Q8IU85
CAMK1G,57172,Q96NX5
CAMK2A,815,Q9UQM7
CAMK2B,816,Q13554
CAMK2D,817,Q13557
CAMK2G,818,Q13555
CAMK4,814,Q16566
CAMKK1,84254,Q8N5S9
CAMKK2,10645,Q96RR4
CAMKV,79012,Q8NCB2
CARD11,84433,Q9BXL7
CASK,8573,O14936
CASS4,57091,Q9NQ75
CCL2,6347,P13500
CCL3,6348,P10147
CCL5,6352,P13501
CCL8,6355,P80075
CCNB1,891,P14635
CCND1,595,P24385
CCND3,896,P30281
CCNE1,898,P24864
CCNH,902,P51946
CCNK,8812,O75909
CDC42BPA,8476,Q5VT25
CDC42BPB,9578,Q9Y5S2
CDC42BPG,55561,Q6DT37
CDC7,8317,O00311
CDK1,983,P06493
CDK10,8558,Q15131
CDK11A,728642,Q9UQ88
CDK11B,984,P21127
CDK12,51755,Q9NYV4
CDK13,8621,Q14004
CDK14,5218,O94921
CDK15,65061,Q96Q40
CDK16,5127,Q00536
CDK17,5128,Q00537
CDK18,5129,Q07002
CDK19,23097,Q9BWU1
CDK2,1017,P24941
CDK20,23552,Q8IZL9
CDK3,1018,Q00526
CDK4,1019,P11802
CDK5,1020,Q00535
CDK5R1,8851,Q15078
CDK6,1021,Q00534
CDK7,1022,P50613
CDK8,1024,P49336
CDK9,1025,P50750
CDKL1,8814,Q00532
CDKL2,8999,Q92772
CDKL3,51265,Q8IVW4
CDKL4,344387,Q5MAI5
CDKL5,6792,O76039
CDKN1A,1026,P38936
CERK,64781,Q8TCT0
CERKL,375298,Q49MI3
CHEK1,1111,O14757
CHEK2,11200,O96017
CHKA,1119,P35790
CHKB,1120,Q9Y259
CHUK,1147,O15111
CIT,11113,O14578
CKB,1152,P12277
CKM,1158,P06732
CKMT1A,548596,P12532
CKMT2,1160,P17540
CLK1,1195,P49759
CLK2,1196,P49760
CLK3,1198,P49761
CLK4,57396,Q9HAZ1
CLP1,10978,Q92989
CMPK1,51727,P30085
CMPK2,129607,Q5EBM0
CNTLN,54875,Q9NXG0
COASY,80347,Q13057
COL4A3BP,10087,Q9Y5P4
CPNE3,8895,O75131
CRIM1,51232,Q9NZV1
CSF1R,1436,P07333
CSK,1445,P41240
CSNK1A1,1452,P48729
CSNK1A1L,122011,Q8N752
CSNK1D,1453,P48730
CSNK1E,1454,P49674
CSNK1G1,53944,Q9HCP0
CSNK1G2,1455,P78368
CSNK1G3,1456,Q9Y6M4
CSNK2A1,1457,P68400
CSNK2A2,1459,P19784
CSNK2B,1460,P67870
DAPK1,1612,P53355
DAPK2,23604,Q9UIK4
DAPK3,1613,O43293
DCAKD,79877,Q8WVC6
DCK,1633,P27707
DCLK1,9201,O15075
DCLK2,166614,Q8N568
DCLK3,85443,Q9C098
DDR1,780,Q08345
DDR2,4921,Q16832
DGKA,1606,P23743
DGKB,1607,Q9Y6T7
DGKD,8527,Q16760
DGKE,8526,P52429
DGKG,1608,P49619
DGKH,160851,Q86XP1
DGKI,9162,O75912
DGKK,139189,Q5KSL6
DGKQ,1609,P52824
DGKZ,8525,Q13574
DGUOK,1716,Q16854
DLG1,1739,Q12959
DLG2,1740,Q15700
DLG3,1741,Q92796
DMPK,1760,Q09013
DOLK,22845,Q9UPQ8
DSTYK,25778,Q6XUX3
DTYMK,1841,P23919
DYRK1A,1859,Q13627
DYRK1B,9149,Q9Y463
DYRK2,8445,Q92630
DYRK3,8444,O43781
DYRK4,8798,Q9NR20
EEF2K,29904,O00418
EFEMP1,2202,Q12805
EFNA3,1944,P52797
EFNA4,1945,P52798
EFNB3,1949,Q15768
EGFR,1956,P00533
EIF2AK1,27102,Q9BQI3
EIF2AK2,5610,P19525
EIF2AK3,9451,Q9NZJ5
EIF2AK4,440275,Q9P2K8
ENG,2022,P17813
EPGN,255324,Q6UW88
EPHA1,2041,P21709
EPHA10,284656,Q5JZY3
EPHA2,1969,P29317
EPHA3,2042,P29320
EPHA4,2043,P54764
EPHA5,2044,P54756
EPHA6,285220,Q9UF33
EPHA7,2045,Q15375
EPHA8,2046,P29322
EPHB1,2047,P54762
EPHB2,2048,P29323
EPHB3,2049,P54753
EPHB4,2050,P54760
EPHB6,2051,O15197
ERBB2,2064,P04626
ERBB3,2065,P21860
ERBB4,2066,Q15303
ERCC2,2068,P18074
ERCC3,2071,P19447
ERN1,2081,O75460
ERN2,10595,Q76MJ5
ETNK1,55500,Q9HBU6
ETNK2,55224,Q9NVF9
FAM20B,9917,O75063
FAM20C,56975,Q8IXL6
FASTK,10922,Q14296
FASTKD1,79675,Q53R41
FASTKD2,22868,Q9NYY8
FASTKD3,79072,Q14CZ7
FASTKD5,60493,Q7L8L6
FER,2241,P16591
FES,2242,P07332
FGFR1,2260,P11362
FGFR1OP,11116,O95684
FGFR2,2263,P21802
FGFR3,2261,P22607
FGFR4,2264,P22455
FGFRL1,53834,Q8N441
FGGY,55277,Q96C11
FGR,2268,P09769
FKBP1A,2280,P62942
FLT1,2321,P17948
FLT3,2322,P36888
FLT4,2324,P35916
FN3K,64122,Q9H479
FN3KRP,79672,Q9HA64
FRK,2444,P42685
FUK,197258,Q8N0W3
FYN,2534,P06241
GAK,2580,O14976
GALK1,2584,P51570
GALK2,2585,Q01415
GCK,2645,P35557
GK,2710,P32189
GK2,2712,Q14410
GK5,256356,Q6ZS86
GLYCTK,132158,Q8IVS8
GNE,10020,Q9Y223
GPR107,57720,Q5VW38
GPR108,56927,Q9NPR9
GPR155,151556,Q7Z3F1
GRK1,6011,Q15835
GRK4,2868,P32298
GRK5,2869,P34947
GRK6,2870,P43250
GRK7,131890,Q8WTQ7
GSG2,83903,Q8TF76
GSK3A,2931,P49840
GSK3B,2932,P49841
GTF2H1,2965,P32780
GTF2H2,2966,Q13888
GTF2H3,2967,Q13889
GTF2H4,2968,Q92759
GUCY2C,2984,P25092
GUCY2D,3000,Q02846
GUCY2F,2986,P51841
GUK1,2987,Q16774
HCK,3055,P08631
HIPK1,204851,Q86Z02
HIPK2,28996,Q9H2X6
HIPK3,10114,Q9H422
HIPK4,147746,Q8NE63
HK1,3098,P19367
HK2,3099,P52789
HK3,3101,P52790
HKDC1,80201,Q2TB90
HMGA2,8091,P52926
HMGXB3,22993,Q12766
HTATIP2,10553,Q9BUP3
HUNK,30811,P57058
HYKK,123688,A2RU49
ICK,22858,Q9UPZ9
IDNK,414328,Q5T6J7
IGF1R,3480,P08069
IGF2R,3482,P11717
IKBKB,3551,O14920
IKBKE,9641,Q14164
IKBKG,8517,Q9Y6K9
ILK,3611,Q13418
INSR,3643,P06213
INSRR,3645,P14616
IP6K1,9807,Q92551
IP6K2,51447,Q9UHH9
IP6K3,117283,Q96PC2
IPMK,253430,Q8NFU5
IPPK,64768,Q9H8X2
IRAK1,3654,P51617
IRAK2,3656,O43187
IRAK3,11213,Q9Y616
IRAK4,51135,Q9NWZ3
ITK,3702,Q08881
ITPK1,3705,Q13572
ITPKA,3706,P23677
ITPKB,3707,P27987
ITPKC,80271,Q96DU7
JAK1,3716,P23458
JAK2,3717,O60674
JAK3,3718,P52333
KALRN,8997,O60229
KCNH1,3756,O95259
KCNH2,3757,Q12809
KCNH3,23416,Q9ULD8
KCNH4,23415,Q9UQ05
KCNH5,27133,Q8NCM2
KCNH8,131096,Q96L42
KDR,3791,P35968
KHK,3795,P50053
KIT,3815,P10721
KNDC1,85442,Q76NI1
KSR1,8844,Q8IVT5
KSR2,283455,Q6VAB6
LATS1,9113,O95835
LATS2,26524,Q9NRM7
LCK,3932,P06239
