Assay ID,Assay Method,Symbol,Mode,Classification,Format,Target Class,Technology
220,Single Point,ABL1,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
235,Single Point,ABL2,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
238,Single Point,ALK4,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
247,Single Point,AKT1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
250,Single Point,AKT2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
256,Single Point,ALK,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
262,Single Point,AMPK,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
268,Single Point,AURKB,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
271,Single Point,AURKC,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
274,Single Point,AXL,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
277,Single Point,BLK,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
280,Single Point,BMX,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
281,Single Point,BRAF,100,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
288,Single Point,BTK,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
991,Single Point,CAMK1,10,Ser/Thr,Biochemical (Activity),Kinase,Adapta
297,Single Point,CAMK2B,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
312,Single Point,CDK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
315,Single Point,CDK2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
996,Single Point,CDK7,Km app,Ser/Thr,Biochemical (Activity),Kinase,Adapta
999,Single Point,CDK9,Km app,Ser/Thr,Biochemical (Activity),Kinase,Adapta
324,Single Point,CHEK1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
336,Single Point,CSF1R,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
351,Single Point,CSNK1G1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
363,Single Point,CSNK2A2,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
1184,Single Point,DDR2,,Receptor Tyr,Biochemical (Binding),Kinase,LanthaScreen Binding
1185,Single Point,DMPK,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
1810,Single Point,DYRK2,,Ser/Thr,Biochemical (Binding),Kinase,LanthaScreen Binding
383,Single Point,EEF2K,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
386,Single Point,EGFR,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
398,Single Point,EGFR,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
412,Single Point,EPHA5,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
418,Single Point,EPHB1,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
427,Single Point,EPHB4,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
430,Single Point,ERBB2,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
433,Single Point,ERBB4,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
436,Single Point,FER,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
439,Single Point,FES,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
442,Single Point,FGFR1,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
1816,Single Point,FGFR1,,Receptor Tyr,Biochemical (Binding),Kinase,LanthaScreen Binding
445,Single Point,FGFR2,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
448,Single Point,FGFR3,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
454,Single Point,FGFR4,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
459,Single Point,FLT1,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
462,Single Point,FLT3,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
471,Single Point,FRAP1,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
477,Single Point,FYN,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
492,Single Point,GSK3A,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
495,Single Point,GSK3B,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
507,Single Point,IGF1R,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
510,Single Point,IKBKB,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
516,Single Point,INSR,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
518,Single Point,INSRR,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
521,Single Point,IRAK4,Km app,Ser/Thr,Biochemical (Activity),Kinase,ZLYTE
526,Single Point,JAK1,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
529,Single Point,JAK2,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
537,Single Point,JAK3,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
540,Single Point,KDR,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
542,Single Point,KIT,Km app,Receptor Tyr,Biochemical (Activity),Kinase,ZLYTE
548,Single Point,LCK,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
554,Single Point,LYN A,Km app,Cytoplasmic Tyr,Biochemical (Activity),Kinase,ZLYTE
