Accession,Description,A6..114.115_norm_log2,A6..114.116_norm_log2,A6..114.117_norm_log2,B6..114.115_norm_log2,B6..114.116_norm_log2,B6..114.117_norm_log2,Sum...Unique.Peptides.
P18484,AP-2 complex subunit alpha-2 OS=Rattus norvegicus GN=Ap2a2 PE=1 SV=3 - [AP2A2_RAT],-0.011178924,1.049166057,0.714764339,0.591965888,2.180352799,2.18582651,3
Q8CFN2,Cell division control protein 42 homolog OS=Rattus norvegicus GN=Cdc42 PE=1 SV=2 - [CDC42_RAT],0.262828174,1.496717988,1.485257606,0.349510381,1.609007975,1.776848385,7
P16409,Myosin light chain 3 OS=Rattus norvegicus GN=Myl3 PE=1 SV=2 - [MYL3_RAT],0.088772332,1.451364991,1.541271494,-0.005862239,1.406150713,1.250992188,14
P0DMW0,Heat shock 70 kDa protein 1A OS=Rattus norvegicus GN=Hspa1a PE=2 SV=1 - [HS71A_RAT],0.142444265,1.498421087,1.481869008,0.044358662,1.48122412,1.25060946,88
P55260,Annexin A4 OS=Rattus norvegicus GN=Anxa4 PE=1 SV=3 - [ANXA4_RAT],1.012933532,1.249748715,1.343559521,0.752675677,1.455611482,1.221611531,4
P04764,Alpha-enolase OS=Rattus norvegicus GN=Eno1 PE=1 SV=4 - [ENOA_RAT],0.307503511,0.758161019,0.699528293,0.747806403,1.384167714,1.158953884,2
O88453,Scaffold attachment factor B1 OS=Rattus norvegicus GN=Safb PE=1 SV=2 - [SAFB1_RAT],0.378701965,0.586884813,0.940143601,1.373643131,0.89157754,1.104082463,2
P30713,Glutathione S-transferase theta-2 OS=Rattus norvegicus GN=Gstt2 PE=1 SV=3 - [GSTT2_RAT],0.633624619,1.029982866,1.430939994,0.891283566,0.967938791,1.03153065,20
P62246,40S ribosomal protein S15a OS=Rattus norvegicus GN=Rps15a PE=1 SV=2 - [RS15A_RAT],0.775543932,1.081339627,1.444494737,0.837296695,0.93758543,0.974269725,8
Q6AY19,AarF domain-containing protein kinase 4 OS=Rattus norvegicus GN=Adck4 PE=1 SV=1 - [ADCK4_RAT],0.489486533,0.455579293,0.807693305,0.419855978,0.586515957,0.935745458,7
P31232,Transgelin OS=Rattus norvegicus GN=Tagln PE=1 SV=2 - [TAGL_RAT],0.137953382,0.653212918,0.442317084,0.036394237,1.129682637,0.876454934,3
Q3T1J1,Eukaryotic translation initiation factor 5A-1 OS=Rattus norvegicus GN=Eif5a PE=1 SV=3 - [IF5A1_RAT],0.190942783,0.444313682,0.387232134,0.513812427,0.762844226,0.866498407,4
Q6MG49-2,Isoform 2 of Large proline-rich protein BAG6 OS=Rattus norvegicus GN=Bag6 - [BAG6_RAT],0.544815352,1.38331261,1.649058505,0.441126728,1.060273242,0.850928701,2
P45592,Cofilin-1 OS=Rattus norvegicus GN=Cfl1 PE=1 SV=3 - [COF1_RAT],0.564191986,0.845857996,1.002367015,0.890337019,0.902594356,0.841810514,9
P05708,Hexokinase-1 OS=Rattus norvegicus GN=Hk1 PE=1 SV=4 - [HXK1_RAT],0.824573993,1.154885602,0.781747309,0.583401565,1.354569229,0.836209785,9
P16290,Phosphoglycerate mutase 2 OS=Rattus norvegicus GN=Pgam2 PE=1 SV=2 - [PGAM2_RAT],0.364356188,0.609754962,0.77553325,0.567698606,0.846130548,0.787968498,38
Q9Z2J4-2,Isoform 2 of Nexilin OS=Rattus norvegicus GN=Nexn - [NEXN_RAT],0.485957002,0.866050742,0.668564819,0.688419073,0.797059941,0.74405234,3
Q3T1L0,Aldehyde dehydrogenase family 16 member A1 OS=Rattus norvegicus GN=Aldh16a1 PE=2 SV=1 - [A16A1_RAT],0.932237548,1.329602023,1.446234496,0.476876753,0.887046301,0.67898241,7
P82995,Heat shock protein HSP 90-alpha OS=Rattus norvegicus GN=Hsp90aa1 PE=1 SV=3 - [HS90A_RAT],NA,NA,NA,0.315125683,0.772703228,0.672711052,2
P04785,Protein disulfide-isomerase OS=Rattus norvegicus GN=P4hb PE=1 SV=2 - [PDIA1_RAT],-0.324714716,0.858113651,0.71404245,0.035252865,0.868266892,0.671567871,12
P47967,Galectin-5 OS=Rattus norvegicus GN=Lgals5 PE=1 SV=2 - [LEG5_RAT],-0.424139706,0.588164933,0.598324523,-0.063997381,0.681448538,0.658355759,3
Q6PDV7,60S ribosomal protein L10 OS=Rattus norvegicus GN=Rpl10 PE=1 SV=3 - [RL10_RAT],-0.074912566,0.853862612,0.928988687,-0.020622906,0.876417733,0.65488913,3
P85972,Vinculin OS=Rattus norvegicus GN=Vcl PE=1 SV=1 - [VINC_RAT],0.333266607,1.057970069,1.497055412,0.291420006,0.966507782,0.654310547,15
P06686,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Rattus norvegicus GN=Atp1a2 PE=1 SV=1 - [AT1A2_RAT],0.417201156,0.910732662,1.337947734,0.647175365,1.08598093,0.65141415,4
Q6URK4-2,Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3 OS=Rattus norvegicus GN=Hnrnpa3 - [ROA3_RAT],0.114144122,0.301782724,0.366250426,0.299523717,0.823122238,0.627441766,2
Q07969,Platelet glycoprotein 4 OS=Rattus norvegicus GN=Cd36 PE=1 SV=3 - [CD36_RAT],0.929641604,0.843715909,0.894996917,0.78800315,0.716490834,0.620941798,9
P62718,60S ribosomal protein L18a OS=Rattus norvegicus GN=Rpl18a PE=2 SV=1 - [RL18A_RAT],-0.043968859,0.809002775,0.800230488,-0.316672369,0.25571067,0.52862183,3
Q32PX2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Rattus norvegicus GN=Aimp2 PE=2 SV=1 - [AIMP2_RAT],-0.184537058,0.370350303,0.431818347,0.082429658,0.839891857,0.520390499,2
Q925G1,Hepatoma-derived growth factor-related protein 2 OS=Rattus norvegicus GN=Hdgfrp2 PE=1 SV=2 - [HDGR2_RAT],0.224158915,0.293958979,0.623914517,-0.183813074,0.486225957,0.499282193,2
