Accession,Description,X..Unique.Peptides,X126.127_N_norm_log2,X126.127_C_norm_log2,X126.128_N_norm_log2,X126.128_C_norm_log2,X126.129_N_norm_log2,X126.129_C_norm_log2,X126.130_N_norm_log2,X126.130_C_norm_log2,X126.131_norm_log2
P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2 - [TGM2_HUMAN],7,0.455552659,0.826491523,1.289837442,1.211328755,1.291231298,2.091147888,2.209677869,2.448026855,2.683945813
O60506,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2 - [HNRPQ_HUMAN],31,0.586990182,0.555728189,0.861039944,0.886690981,1.306661338,1.702368455,1.882502241,1.93315625,2.14367346
Q16658,Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3 - [FSCN1_HUMAN],21,0.227600712,0.532928319,0.704577202,0.66863854,0.60622162,1.20026961,1.445519312,1.732414502,1.771600209
P18621,60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3 - [RL17_HUMAN],2,-0.219858265,0.312662199,0.471425042,0.417446408,0.128448365,0.088200604,0.255631208,-0.030615367,0.993445263
Q9BQI0,Allograft inflammatory factor 1-like OS=Homo sapiens GN=AIF1L PE=1 SV=1 - [AIF1L_HUMAN],4,0.128065039,0.553212591,0.631281693,0.28757659,0.193739826,0.492131851,0.699374291,1.033683126,0.792894987
P42166,"Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens GN=TMPO PE=1 SV=2 - [LAP2A_HUMAN]",3,-0.505038956,0.027445882,0.203341829,0.478245102,-0.115477217,-0.31410859,-0.250352503,-0.251719093,0.792139847
Q9BPX5,Actin-related protein 2/3 complex subunit 5-like protein OS=Homo sapiens GN=ARPC5L PE=1 SV=1 - [ARP5L_HUMAN],2,-0.575860294,0.188482788,0.397092844,0.113101433,-0.386124807,-0.30633124,0.0463228,-0.143194636,0.770067058
P07602,Prosaposin OS=Homo sapiens GN=PSAP PE=1 SV=2 - [SAP_HUMAN],4,0.258461676,0.413189075,0.380414103,0.144849059,0.183489729,0.650364976,0.250984843,0.177896872,0.633406969
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens GN=GSPT1 PE=1 SV=1 - [ERF3A_HUMAN],3,0.809961418,0.353717267,0.132067141,0.257236561,0.777850928,0.858413523,0.42607155,0.953829819,0.592355378
P45880,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2 - [VDAC2_HUMAN],2,-0.445799753,0.128913521,0.399302179,0.199619861,0.186059089,0.070389328,0.091204399,-0.292876417,0.542039102
Q9HB71,Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2 - [CYBP_HUMAN],2,-0.441660023,-0.223316338,0.657360816,-0.189342455,-0.413091855,0.091147888,0.124607557,-0.134855335,0.537540517
P18206,Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4 - [VINC_HUMAN],2,0.462195933,0.111920451,0.202076862,0.1911978,0.406983865,0.487665299,0.11185155,0.256075548,0.502884987
O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4 - [SC22B_HUMAN],5,0.222392421,0.314148747,0.22841101,0.182726284,0.318419309,0.23665899,0.051676035,0.197842282,0.489904353
P13798,Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4 - [ACPH_HUMAN],2,0.86280081,0.188482788,-0.10255441,0.438947477,1.306661338,0.628215699,0.595080263,0.848417579,0.485239962
Q9UNN8,Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1 - [EPCR_HUMAN],2,0.580898568,0.379505949,0.213421835,0.284412784,0.831352124,0.912733164,0.442465988,0.50316841,0.474924906
P62081,40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1 - [RS7_HUMAN],2,0.774814855,0.04545729,-0.099431692,0.222943384,0.967512147,0.982646433,0.806167682,0.871367658,0.472098862
Q9Y3I0,tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1 - [RTCB_HUMAN],2,-0.540015095,0.59905562,0.411393408,0.423211431,-0.348454389,-0.018941564,0.167153252,-0.292876417,0.468322171
Q9UQ35,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2 - [SRRM2_HUMAN],6,0.403578384,-0.071960338,-0.224820793,0.111317023,0.691877705,0.514259509,0.218034421,0.519109953,0.464535568
P49841,Glycogen synthase kinase-3 beta OS=Homo sapiens GN=GSK3B PE=1 SV=2 - [GSK3B_HUMAN],4,0.780141735,0.132288248,-0.168106402,0.130825182,0.750337435,0.520832163,0.271776645,0.571011055,0.453115759
Q05209,Tyrosine-protein phosphatase non-receptor type 12 OS=Homo sapiens GN=PTPN12 PE=1 SV=3 - [PTN12_HUMAN],2,0.296132094,0.514942574,0.051479219,0.271687718,0.762439202,0.546827372,0.627705411,0.330234658,0.446412218
P61019,Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1 - [RAB2A_HUMAN],2,0.34966149,0.64702995,0.225923604,0.307973923,0.700888946,0.789320999,0.629496466,0.497815175,0.44064143
Q86V81,THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3 - [THOC4_HUMAN],3,0.281181753,0.492796933,-0.06247697,0.18781516,0.615782258,0.469659511,0.388488367,0.265556601,0.438712693
O14974,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens GN=PPP1R12A PE=1 SV=1 - [MYPT1_HUMAN],8,0.198719592,0.122140293,0.150546561,0.151810207,0.513112216,0.430634354,0.330211534,0.259242827,0.430971856
Q9BZF1,Oxysterol-binding protein-related protein 8 OS=Homo sapiens GN=OSBPL8 PE=1 SV=3 - [OSBL8_HUMAN],3,0.731476577,0.245689645,-0.051874439,0.212993723,0.954007883,0.69366876,0.616912131,0.852617567,0.42903014
P14927,Cytochrome b-c1 complex subunit 7 OS=Homo sapiens GN=UQCRB PE=1 SV=2 - [QCR7_HUMAN],3,0.466607848,-0.168309571,-0.159950953,-0.013564728,0.841166413,0.496584617,0.167153252,0.772866546,0.426112657
